"","items","count","total","rnd","customer","age","city","paymentType"
"5838","whole milk",1,1625,8,"Rania",37,"Dakahlia","Credit"
"5839","candy",1,532,13,"Sayed",37,"Cairo","Credit"
"5840","sausage,soft cheese,rolls/buns,bottled water,specialty chocolate",5,348,8,"Rania",37,"Dakahlia","Cash"
"5841","sausage,whole milk,frozen dessert,mustard,jam,bottled water,hygiene articles",7,1465,8,"Rania",37,"Dakahlia","Credit"
"5842","frankfurter,chicken,pork,other vegetables,yogurt,whipped/sour cream,soft cheese,rolls/buns,instant coffee,bottled water,napkins",11,194,8,"Rania",37,"Dakahlia","Cash"
"5843","chicken,other vegetables,whole milk,curd,domestic eggs,rolls/buns,softener",7,2305,13,"Sayed",37,"Cairo","Credit"
"5844","frankfurter,rolls/buns",2,1911,13,"Sayed",37,"Cairo","Credit"
"5845","other vegetables,chewing gum",2,1225,13,"Sayed",37,"Cairo","Cash"
"5846","whole milk,curd cheese",2,393,8,"Rania",37,"Dakahlia","Credit"
"5847","whole milk,white wine",2,527,13,"Sayed",37,"Cairo","Cash"
"5848","frozen meals",1,1576,8,"Rania",37,"Dakahlia","Cash"
"5849","whole milk,butter,newspapers",3,1779,13,"Sayed",37,"Cairo","Credit"
"5850","other vegetables,whole milk,bottled beer,newspapers",4,298,8,"Rania",37,"Dakahlia","Credit"
"5851","ham,beef,whole milk,yogurt,cat food",5,778,13,"Sayed",37,"Cairo","Cash"
"5852","root vegetables",1,122,13,"Sayed",37,"Cairo","Credit"
"5853","yogurt,whipped/sour cream,UHT-milk,baking powder,bottled water,soda",6,1903,8,"Rania",37,"Dakahlia","Cash"
"5854","pastry,pot plants",2,2062,8,"Rania",37,"Dakahlia","Cash"
"5855","beef,dessert,frozen vegetables,rice,long life bakery product,cling film/bags,shopping bags",7,2144,13,"Sayed",37,"Cairo","Cash"
"5856","whole milk,fruit/vegetable juice,newspapers",3,2278,8,"Rania",37,"Dakahlia","Credit"
"5857","ham,domestic eggs,pastry,long life bakery product,waffles,specialty chocolate,dishes,shopping bags",8,666,13,"Sayed",37,"Cairo","Credit"
"5858","grapes,butter,soft cheese,canned beer",4,312,13,"Sayed",37,"Cairo","Cash"
"5859","UHT-milk,newspapers",2,767,8,"Rania",37,"Dakahlia","Credit"
"5860","domestic eggs,rolls/buns",2,2285,13,"Sayed",37,"Cairo","Cash"
"5861","whole milk",1,1487,13,"Sayed",37,"Cairo","Credit"
"5862","chicken,citrus fruit,berries,root vegetables,yogurt,soda",6,562,8,"Rania",37,"Dakahlia","Credit"
"5863","frankfurter,tropical fruit,dessert,UHT-milk,frozen dessert,pastry,artif. sweetener,mustard,canned fruit,hygiene articles",10,520,13,"Sayed",37,"Cairo","Cash"
"5864","pet care",1,611,8,"Rania",37,"Dakahlia","Cash"
"5865","herbs,whole milk,sliced cheese,rolls/buns,pastry,bottled water,waffles",7,1801,13,"Sayed",37,"Cairo","Cash"
"5866","hamburger meat,citrus fruit,other vegetables,whole milk,butter,rolls/buns,baking powder,cooking chocolate,specialty chocolate,male cosmetics",10,2012,8,"Rania",37,"Dakahlia","Cash"
"5867","soda",1,296,13,"Sayed",37,"Cairo","Cash"
"5868","berries",1,2106,13,"Sayed",37,"Cairo","Credit"
"5869","berries",1,1049,13,"Sayed",37,"Cairo","Credit"
"5870","tropical fruit",1,2176,8,"Rania",37,"Dakahlia","Cash"
"5871","syrup",1,1882,13,"Sayed",37,"Cairo","Credit"
"5872","bottled water,canned beer,white wine",3,689,13,"Sayed",37,"Cairo","Cash"
"5873","pork,beef",2,2320,13,"Sayed",37,"Cairo","Cash"
"5874","whole milk,whipped/sour cream",2,592,8,"Rania",37,"Dakahlia","Cash"
"5875","onions,whole milk,butter,yogurt,frozen fish,fruit/vegetable juice",6,1740,8,"Rania",37,"Dakahlia","Credit"
"5876","shopping bags",1,1487,13,"Sayed",37,"Cairo","Credit"
"5877","whole milk,yogurt,bottled water",3,1642,13,"Sayed",37,"Cairo","Cash"
"5878","pip fruit,root vegetables,whole milk,yogurt,white bread,soda,chocolate,hygiene articles",8,780,13,"Sayed",37,"Cairo","Credit"
"5879","pip fruit,other vegetables,curd,yogurt,whipped/sour cream,sugar,canned vegetables,fruit/vegetable juice",8,2108,8,"Rania",37,"Dakahlia","Credit"
"5880","chicken,beef,hamburger meat,pip fruit,grapes,root vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream,cream cheese ,pastry,bottled water,fruit/vegetable juice",15,171,13,"Sayed",37,"Cairo","Credit"
"5881","pork,root vegetables,other vegetables,whole milk,domestic eggs,pastry",6,1835,13,"Sayed",37,"Cairo","Cash"
"5882","sausage,citrus fruit,other vegetables,specialty cheese,baking powder,bottled water,detergent,newspapers",8,1551,13,"Sayed",37,"Cairo","Credit"
"5883","frankfurter,beef,grapes,other vegetables,bottled beer,red/blush wine,napkins,newspapers",8,256,13,"Sayed",37,"Cairo","Cash"
"5884","root vegetables,onions,other vegetables",3,1261,8,"Rania",37,"Dakahlia","Credit"
"5885","citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables",5,1374,8,"Rania",37,"Dakahlia","Cash"
"5886","sausage,chicken,root vegetables,other vegetables,yogurt,whipped/sour cream,rolls/buns,pastry",8,1819,13,"Sayed",37,"Cairo","Cash"
"5887","beef,citrus fruit,tropical fruit,whole milk,butter milk,frozen vegetables,rolls/buns,brown bread,pickled vegetables",9,1649,13,"Sayed",37,"Cairo","Cash"
"5888","onions,other vegetables,whole milk,butter,butter milk,whipped/sour cream,ice cream,rolls/buns,bottled beer,long life bakery product,dental care,napkins,newspapers",13,1700,13,"Sayed",37,"Cairo","Cash"
"5889","beef,hamburger meat,pip fruit,root vegetables,whole milk,butter milk,yogurt,whipped/sour cream,pasta,sugar,cereals",11,2065,13,"Sayed",37,"Cairo","Cash"
"5890","sausage,chicken,whole milk,processed cheese,frozen vegetables,rolls/buns,rice,margarine,sugar,canned fruit,pickled vegetables,hygiene articles",12,1676,8,"Rania",37,"Dakahlia","Credit"
"5891","hamburger meat,citrus fruit,herbs,other vegetables,whole milk,butter,domestic eggs,pasta,Instant food products,canned fruit,pickled vegetables,bottled water,misc. beverages,bottled beer,hygiene articles",15,547,13,"Sayed",37,"Cairo","Cash"
"5892","pork,beef,root vegetables,other vegetables,frozen vegetables,margarine,white wine",7,853,13,"Sayed",37,"Cairo","Credit"
"5893","specialty chocolate",1,1397,8,"Rania",37,"Dakahlia","Credit"
"5894","beef,root vegetables,other vegetables,whole milk,curd,cream,domestic eggs,soda,fruit/vegetable juice",9,689,8,"Rania",37,"Dakahlia","Credit"
"5895","frankfurter,root vegetables,bottled water,canned beer,hygiene articles",5,110,8,"Rania",37,"Dakahlia","Credit"
"5896","pot plants",1,174,13,"Sayed",37,"Cairo","Cash"
"5897","cream",1,926,13,"Sayed",37,"Cairo","Credit"
"5898","misc. beverages",1,1436,13,"Sayed",37,"Cairo","Cash"
"5899","herbs,whole milk,pastry",3,1966,13,"Sayed",37,"Cairo","Cash"
"5900","frankfurter,chocolate",2,1405,8,"Rania",37,"Dakahlia","Credit"
"5901","soda",1,2278,8,"Rania",37,"Dakahlia","Cash"
"5902","beef,root vegetables,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,soda,fruit/vegetable juice,red/blush wine,snack products,dishes,light bulbs,shopping bags",14,808,8,"Rania",37,"Dakahlia","Cash"
"5903","root vegetables,packaged fruit/vegetables,rolls/buns,sugar,liquor",5,710,13,"Sayed",37,"Cairo","Cash"
"5904","syrup",1,1117,13,"Sayed",37,"Cairo","Credit"
"5905","salt,candy",2,1360,8,"Rania",37,"Dakahlia","Credit"
"5906","other vegetables,dessert,cream cheese ,rolls/buns,white bread,margarine,salty snack,waffles,specialty bar,female sanitary products,newspapers",11,741,8,"Rania",37,"Dakahlia","Credit"
"5907","onions",1,2462,13,"Sayed",37,"Cairo","Cash"
"5908","yogurt,margarine,newspapers",3,2159,13,"Sayed",37,"Cairo","Cash"
"5909","chicken,root vegetables,whole milk,butter,yogurt,sparkling wine,chocolate,softener,female sanitary products,napkins,kitchen towels,house keeping products,newspapers",13,519,8,"Rania",37,"Dakahlia","Credit"
"5910","root vegetables,other vegetables,whole milk,whipped/sour cream,hard cheese,frozen vegetables,cat food,dishes,newspapers",9,1505,13,"Sayed",37,"Cairo","Credit"
"5911","bottled water",1,1954,8,"Rania",37,"Dakahlia","Cash"
"5912","finished products,citrus fruit,tropical fruit,grapes,berries,root vegetables,other vegetables,whole milk,spread cheese,brown bread,pastry,potato products,fruit/vegetable juice,chocolate,pot plants,shopping bags",16,602,8,"Rania",37,"Dakahlia","Credit"
"5913","misc. beverages",1,175,8,"Rania",37,"Dakahlia","Credit"
"5914","tropical fruit,dessert,bottled water,soda,bottled beer,white wine,napkins",7,2115,8,"Rania",37,"Dakahlia","Credit"
"5915","bottled water,bottled beer",2,1023,13,"Sayed",37,"Cairo","Cash"
"5916","hamburger meat,other vegetables,whole milk,spread cheese,soda,canned beer,chocolate,specialty bar",8,1391,13,"Sayed",37,"Cairo","Cash"
"5917","pip fruit,whole milk,coffee,bottled water,fruit/vegetable juice,bottled beer",6,1300,13,"Sayed",37,"Cairo","Credit"
"5918","whipped/sour cream,rolls/buns",2,1673,8,"Rania",37,"Dakahlia","Credit"
"5919","soda,long life bakery product",2,503,8,"Rania",37,"Dakahlia","Credit"
"5920","sausage,yogurt,pastry,canned fish,shopping bags",5,350,8,"Rania",37,"Dakahlia","Cash"
"5921","pip fruit",1,1559,8,"Rania",37,"Dakahlia","Cash"
"5922","sausage,root vegetables,whole milk,butter milk,yogurt,rolls/buns,pastry",7,354,13,"Sayed",37,"Cairo","Credit"
"5923","sausage,rolls/buns,mustard,soda",4,214,13,"Sayed",37,"Cairo","Credit"
"5924","canned beer",1,154,8,"Rania",37,"Dakahlia","Credit"
"5925","whole milk,shopping bags",2,1138,13,"Sayed",37,"Cairo","Cash"
"5926","mustard",1,942,13,"Sayed",37,"Cairo","Credit"
"5927","tropical fruit,root vegetables,other vegetables,whole milk,yogurt,soft cheese,domestic eggs,rolls/buns,margarine,mustard,bottled water",11,2064,13,"Sayed",37,"Cairo","Credit"
"5928","rolls/buns,shopping bags",2,1802,8,"Rania",37,"Dakahlia","Cash"
"5929","root vegetables",1,1037,13,"Sayed",37,"Cairo","Credit"
"5930","long life bakery product,house keeping products",2,1185,8,"Rania",37,"Dakahlia","Credit"
"5931","meat,other vegetables,whole milk,rolls/buns,shopping bags",5,228,8,"Rania",37,"Dakahlia","Cash"
"5932","pip fruit,other vegetables,whole milk,yogurt,pasta,oil",6,2215,13,"Sayed",37,"Cairo","Credit"
"5933","liver loaf,chicken,other vegetables,frozen vegetables,margarine,detergent,softener",7,1500,8,"Rania",37,"Dakahlia","Cash"
"5934","frozen vegetables,bottled water",2,1359,8,"Rania",37,"Dakahlia","Cash"
"5935","whole milk,fruit/vegetable juice",2,865,13,"Sayed",37,"Cairo","Credit"
"5936","whole milk,rolls/buns,chewing gum",3,1537,8,"Rania",37,"Dakahlia","Cash"
"5937","pastry,oil,bottled beer,chocolate,specialty chocolate",5,2042,8,"Rania",37,"Dakahlia","Cash"
"5938","hard cheese,Instant food products",2,2285,13,"Sayed",37,"Cairo","Cash"
"5939","yogurt,fruit/vegetable juice",2,867,13,"Sayed",37,"Cairo","Credit"
"5940","canned beer",1,531,13,"Sayed",37,"Cairo","Credit"
"5941","liquor",1,1071,8,"Rania",37,"Dakahlia","Credit"
"5942","yogurt",1,1861,8,"Rania",37,"Dakahlia","Cash"
"5943","sausage,pickled vegetables,soda,skin care,shopping bags",5,1479,13,"Sayed",37,"Cairo","Cash"
"5944","rolls/buns,pastry,sugar",3,600,8,"Rania",37,"Dakahlia","Cash"
"5945","rolls/buns,coffee",2,134,8,"Rania",37,"Dakahlia","Credit"
"5946","pastry",1,2235,13,"Sayed",37,"Cairo","Cash"
"5947","instant coffee,photo/film",2,2326,8,"Rania",37,"Dakahlia","Credit"
"5948","frankfurter",1,1113,8,"Rania",37,"Dakahlia","Credit"
"5949","chicken,whole milk,whipped/sour cream,rolls/buns,white bread,fruit/vegetable juice,popcorn,photo/film",8,233,8,"Rania",37,"Dakahlia","Cash"
"5950","sausage,soft cheese,bottled beer",3,2240,8,"Rania",37,"Dakahlia","Cash"
"5951","liver loaf,whole milk,yogurt,condensed milk,specialty cheese,white bread",6,1480,8,"Rania",37,"Dakahlia","Cash"
"5952","frozen meals,white bread,fruit/vegetable juice",3,907,8,"Rania",37,"Dakahlia","Credit"
"5953","whole milk,bottled water,rum,waffles",4,965,8,"Rania",37,"Dakahlia","Credit"
"5954","beef,spread cheese,domestic eggs,cat food,white wine,shopping bags",6,1856,8,"Rania",37,"Dakahlia","Credit"
"5955","sausage,ham,soft cheese,hard cheese,coffee,soda,long life bakery product,chocolate",8,2466,13,"Sayed",37,"Cairo","Cash"
"5956","frankfurter,pork,other vegetables,whole milk,butter,brown bread,semi-finished bread,pet care,canned beer,waffles,hygiene articles,newspapers",12,200,8,"Rania",37,"Dakahlia","Credit"
"5957","whole milk,brown bread,margarine,soda,bottled beer",5,2498,13,"Sayed",37,"Cairo","Cash"
"5958","ham,root vegetables,whipped/sour cream,ketchup",4,1438,13,"Sayed",37,"Cairo","Credit"
"5959","tropical fruit,whipped/sour cream,jam",3,2012,8,"Rania",37,"Dakahlia","Credit"
"5960","whole milk",1,293,8,"Rania",37,"Dakahlia","Credit"
"5961","citrus fruit,root vegetables,margarine,cat food,shopping bags",5,633,13,"Sayed",37,"Cairo","Credit"
"5962","sausage,beverages,sliced cheese,rolls/buns,soda,shopping bags",6,966,13,"Sayed",37,"Cairo","Cash"
"5963","sausage,rolls/buns",2,1303,8,"Rania",37,"Dakahlia","Cash"
"5964","frankfurter,meat,root vegetables,onions,other vegetables,whole milk,yogurt,UHT-milk,rolls/buns,oil,mustard,canned fish,coffee,newspapers,shopping bags",15,1347,8,"Rania",37,"Dakahlia","Credit"
"5965","rolls/buns,brown bread",2,2019,8,"Rania",37,"Dakahlia","Credit"
"5966","frankfurter,whole milk,rolls/buns,newspapers",4,544,13,"Sayed",37,"Cairo","Cash"
"5967","dessert,yogurt",2,426,8,"Rania",37,"Dakahlia","Credit"
"5968","yogurt,rolls/buns",2,1551,13,"Sayed",37,"Cairo","Credit"
"5969","white wine",1,1156,8,"Rania",37,"Dakahlia","Credit"
"5970","root vegetables,dog food,bottled water",3,805,8,"Rania",37,"Dakahlia","Cash"
"5971","sausage,meat,bottled water",3,709,8,"Rania",37,"Dakahlia","Credit"
"5972","citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,yogurt,soft cheese,cream cheese ,domestic eggs,white bread,margarine,coffee,waffles,specialty bar,chocolate marshmallow",16,246,13,"Sayed",37,"Cairo","Cash"
"5973","root vegetables,whole milk,hard cheese,specialty cheese",4,1946,13,"Sayed",37,"Cairo","Cash"
"5974","whole milk",1,2404,8,"Rania",37,"Dakahlia","Cash"
"5975","sausage,tropical fruit,root vegetables,onions,other vegetables,whole milk,white bread,chewing gum",8,1944,13,"Sayed",37,"Cairo","Cash"
"5976","dish cleaner,shopping bags",2,363,8,"Rania",37,"Dakahlia","Credit"
"5977","rolls/buns,soda",2,1123,8,"Rania",37,"Dakahlia","Cash"
"5978","frankfurter,meat,butter milk,tidbits,domestic eggs,brown bread,sugar,pickled vegetables",8,2073,13,"Sayed",37,"Cairo","Cash"
"5979","pip fruit,soda,canned beer",3,1224,8,"Rania",37,"Dakahlia","Credit"
"5980","other vegetables,whipped/sour cream,rolls/buns,waffles,hygiene articles,newspapers",6,1565,8,"Rania",37,"Dakahlia","Cash"
"5981","zwieback,bottled beer,hygiene articles",3,1877,13,"Sayed",37,"Cairo","Cash"
"5982","UHT-milk,canned fish",2,2242,13,"Sayed",37,"Cairo","Cash"
"5983","berries,brown bread",2,2482,8,"Rania",37,"Dakahlia","Cash"
"5984","pip fruit,bottled water",2,1614,13,"Sayed",37,"Cairo","Cash"
"5985","frankfurter,whole milk,white bread,brown bread",4,778,13,"Sayed",37,"Cairo","Cash"
"5986","sausage,ham,pip fruit,onions,other vegetables,hard cheese,white bread,bottled water,shopping bags",9,906,13,"Sayed",37,"Cairo","Cash"
"5987","bottled beer",1,1347,13,"Sayed",37,"Cairo","Cash"
"5988","cocoa drinks",1,1632,8,"Rania",37,"Dakahlia","Cash"
"5989","liver loaf,whole milk,rolls/buns,soda",4,729,13,"Sayed",37,"Cairo","Cash"
"5990","frankfurter,hamburger meat,tropical fruit,other vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,kitchen towels,newspapers",10,1767,8,"Rania",37,"Dakahlia","Credit"
"5991","pastry,instant coffee",2,1005,8,"Rania",37,"Dakahlia","Credit"
"5992","soda",1,111,13,"Sayed",37,"Cairo","Cash"
"5993","ice cream",1,1128,8,"Rania",37,"Dakahlia","Cash"
"5994","whole milk,hard cheese,rolls/buns,bottled water",4,1179,8,"Rania",37,"Dakahlia","Cash"
"5995","zwieback",1,237,13,"Sayed",37,"Cairo","Credit"
"5996","Instant food products,soda",2,1119,8,"Rania",37,"Dakahlia","Cash"
"5997","tropical fruit,whipped/sour cream,hygiene articles",3,1791,8,"Rania",37,"Dakahlia","Cash"
"5998","whole milk,cat food,pet care,coffee,soda,misc. beverages,chocolate",7,1314,8,"Rania",37,"Dakahlia","Credit"
"5999","UHT-milk,mustard",2,1639,13,"Sayed",37,"Cairo","Cash"
"6000","root vegetables,onions,dessert,mayonnaise,brown bread,salt,canned fish,bottled water,fruit/vegetable juice,bottled beer,popcorn",11,138,8,"Rania",37,"Dakahlia","Cash"
"6001","canned beer,specialty bar",2,1922,8,"Rania",37,"Dakahlia","Credit"
"6002","frankfurter,mayonnaise,margarine,mustard,ketchup,seasonal products",6,1368,13,"Sayed",37,"Cairo","Credit"
"6003","chicken,pip fruit,whole milk,dessert,margarine,soda,canned beer,liquor,newspapers",9,1410,8,"Rania",37,"Dakahlia","Cash"
"6004","sausage,berries,sliced cheese,cream cheese ",4,2387,8,"Rania",37,"Dakahlia","Credit"
"6005","cling film/bags",1,1129,8,"Rania",37,"Dakahlia","Credit"
"6006","canned beer",1,1436,8,"Rania",37,"Dakahlia","Cash"
"6007","whole milk,butter milk,cream cheese ,coffee",4,424,13,"Sayed",37,"Cairo","Cash"
"6008","canned beer",1,587,13,"Sayed",37,"Cairo","Cash"
"6009","bottled beer",1,2064,8,"Rania",37,"Dakahlia","Cash"
"6010","canned beer",1,427,13,"Sayed",37,"Cairo","Credit"
"6011","sliced cheese,domestic eggs,rolls/buns,bottled water,soda,pot plants",6,1673,8,"Rania",37,"Dakahlia","Cash"
"6012","canned beer",1,573,8,"Rania",37,"Dakahlia","Cash"
"6013","canned beer",1,795,8,"Rania",37,"Dakahlia","Credit"
"6014","frankfurter,hamburger meat,grapes,other vegetables,whole milk,butter milk,whipped/sour cream,mayonnaise,white bread,roll products ,sauces,salty snack,waffles,chocolate",14,2207,8,"Rania",37,"Dakahlia","Cash"
"6015","shopping bags",1,268,13,"Sayed",37,"Cairo","Cash"
"6016","canned beer",1,1940,13,"Sayed",37,"Cairo","Cash"
"6017","bottled water,canned beer",2,578,13,"Sayed",37,"Cairo","Cash"
"6018","frankfurter,pork,brown bread,potato products",4,1370,8,"Rania",37,"Dakahlia","Credit"
"6019","canned beer",1,906,8,"Rania",37,"Dakahlia","Cash"
"6020","zwieback,cat food,dish cleaner",3,428,13,"Sayed",37,"Cairo","Credit"
"6021","canned beer",1,2485,8,"Rania",37,"Dakahlia","Credit"
"6022","beef,pip fruit,root vegetables,whole milk,soft cheese,bottled beer,detergent",7,1005,8,"Rania",37,"Dakahlia","Credit"
"6023","rolls/buns,margarine,bottled water,bottled beer",4,2046,8,"Rania",37,"Dakahlia","Cash"
"6024","tropical fruit,whipped/sour cream,bottled water,soda,bottled beer,pot plants",6,2400,13,"Sayed",37,"Cairo","Credit"
"6025","root vegetables,onions,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese ,curd cheese,frozen fish,rolls/buns,waffles",12,1750,8,"Rania",37,"Dakahlia","Cash"
"6026","beef,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese ,cat food,napkins",9,1025,8,"Rania",37,"Dakahlia","Cash"
"6027","frankfurter,ham,tropical fruit,yogurt,curd cheese,frozen fish,zwieback,margarine,fruit/vegetable juice",9,1723,8,"Rania",37,"Dakahlia","Credit"
"6028","sausage,finished products,pork,tropical fruit,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese ,white bread,baking powder,long life bakery product,house keeping products,pot plants",14,2455,8,"Rania",37,"Dakahlia","Cash"
"6029","dessert",1,429,13,"Sayed",37,"Cairo","Cash"
"6030","house keeping products",1,338,8,"Rania",37,"Dakahlia","Credit"
"6031","pork,whole milk,bottled water,soda,napkins",5,1691,13,"Sayed",37,"Cairo","Cash"
"6032","shopping bags",1,1715,13,"Sayed",37,"Cairo","Cash"
"6033","beef,other vegetables,whipped/sour cream,newspapers",4,2325,13,"Sayed",37,"Cairo","Credit"
"6034","citrus fruit,tropical fruit,other vegetables,whole milk,curd,rolls/buns",6,2243,13,"Sayed",37,"Cairo","Cash"
"6035","other vegetables,whole milk,yogurt,rolls/buns",4,648,13,"Sayed",37,"Cairo","Credit"
"6036","turkey,root vegetables,other vegetables,whole milk,butter milk,UHT-milk,brown bread,bottled water",8,1698,8,"Rania",37,"Dakahlia","Credit"
"6037","coffee",1,1161,8,"Rania",37,"Dakahlia","Credit"
"6038","sausage,tropical fruit,other vegetables,beverages,processed cheese,rolls/buns,soda,chewing gum",8,2078,8,"Rania",37,"Dakahlia","Cash"
"6039","whole milk,butter milk,salt,sugar,soda,long life bakery product,waffles",7,1342,8,"Rania",37,"Dakahlia","Cash"
"6040","shopping bags",1,813,8,"Rania",37,"Dakahlia","Credit"
"6041","whole milk,bottled beer",2,823,13,"Sayed",37,"Cairo","Cash"
"6042","soda",1,873,13,"Sayed",37,"Cairo","Cash"
"6043","frankfurter,finished products,chicken,other vegetables,whole milk,curd,flour,pasta,salty snack",9,315,13,"Sayed",37,"Cairo","Credit"
"6044","dessert,rolls/buns,napkins,newspapers,shopping bags",5,2099,8,"Rania",37,"Dakahlia","Credit"
"6045","other vegetables,cream cheese ,margarine,canned vegetables,bottled beer",5,1728,13,"Sayed",37,"Cairo","Credit"
"6046","condensed milk,rolls/buns,brown bread,coffee,bottled water,soda",6,1659,13,"Sayed",37,"Cairo","Cash"
"6047","onions,other vegetables,soda,fruit/vegetable juice",4,787,13,"Sayed",37,"Cairo","Credit"
"6048","pastry,canned beer,male cosmetics,newspapers",4,1446,13,"Sayed",37,"Cairo","Credit"
"6049","chicken,citrus fruit,root vegetables,other vegetables,butter,sweet spreads,coffee",7,2209,13,"Sayed",37,"Cairo","Cash"
"6050","chicken,whole milk,semi-finished bread,jam,coffee,soda,napkins,shopping bags",8,820,13,"Sayed",37,"Cairo","Cash"
"6051","citrus fruit,root vegetables,herbs,other vegetables,butter,whipped/sour cream,mayonnaise,rum,waffles",9,621,13,"Sayed",37,"Cairo","Cash"
"6052","chicken,yogurt,whipped/sour cream,frozen dessert,soda,pot plants",6,1073,8,"Rania",37,"Dakahlia","Cash"
"6053","pastry,soda,canned beer,white wine,newspapers",5,1669,8,"Rania",37,"Dakahlia","Cash"
"6054","yogurt,rolls/buns",2,1494,8,"Rania",37,"Dakahlia","Credit"
"6055","sausage,root vegetables,whole milk,yogurt",4,1172,8,"Rania",37,"Dakahlia","Cash"
"6056","whole milk,mayonnaise,soda,newspapers",4,1899,8,"Rania",37,"Dakahlia","Credit"
"6057","canned beer",1,1840,8,"Rania",37,"Dakahlia","Credit"
"6058","other vegetables,napkins",2,2324,13,"Sayed",37,"Cairo","Cash"
"6059","sausage,pot plants",2,2257,8,"Rania",37,"Dakahlia","Cash"
"6060","sausage,root vegetables,ice cream,white bread,salt",5,1336,13,"Sayed",37,"Cairo","Cash"
"6061","chicken,flower (seeds)",2,2210,8,"Rania",37,"Dakahlia","Credit"
"6062","rolls/buns,coffee,salty snack,long life bakery product,waffles",5,2423,8,"Rania",37,"Dakahlia","Credit"
"6063","hamburger meat,berries,other vegetables",3,1376,13,"Sayed",37,"Cairo","Credit"
"6064","condensed milk,tidbits,rolls/buns,coffee,bottled water,soda,misc. beverages,cake bar",8,2230,8,"Rania",37,"Dakahlia","Cash"
"6065","root vegetables,bottled beer,chocolate",3,1054,8,"Rania",37,"Dakahlia","Credit"
"6066","rolls/buns",1,660,13,"Sayed",37,"Cairo","Cash"
"6067","tropical fruit,grapes,other vegetables,curd,beverages,pastry,nut snack",7,1964,13,"Sayed",37,"Cairo","Cash"
"6068","canned beer",1,1475,13,"Sayed",37,"Cairo","Credit"
"6069","sausage,other vegetables,rolls/buns,fruit/vegetable juice",4,1024,13,"Sayed",37,"Cairo","Cash"
"6070","pet care,bottled water,soda,liquor (appetizer)",4,2310,8,"Rania",37,"Dakahlia","Cash"
"6071","dessert,long life bakery product",2,1745,13,"Sayed",37,"Cairo","Credit"
"6072","soda,misc. beverages",2,1562,8,"Rania",37,"Dakahlia","Cash"
"6073","zwieback",1,2139,13,"Sayed",37,"Cairo","Credit"
"6074","UHT-milk,brown bread,coffee,shopping bags",4,1688,13,"Sayed",37,"Cairo","Cash"
"6075","sausage,hamburger meat,packaged fruit/vegetables,whole milk,processed cheese,frozen vegetables,rolls/buns,white bread,tea,long life bakery product,cling film/bags,photo/film",12,2192,8,"Rania",37,"Dakahlia","Credit"
"6076","pork,tropical fruit,whole milk,rolls/buns,chocolate,newspapers",6,1532,13,"Sayed",37,"Cairo","Credit"
"6077","frankfurter,meat,pip fruit,ice cream,brown bread,pickled vegetables,jam,canned fish,liquor,waffles,newspapers",11,386,8,"Rania",37,"Dakahlia","Credit"
"6078","sausage,rolls/buns,fruit/vegetable juice",3,1998,13,"Sayed",37,"Cairo","Cash"
"6079","rolls/buns",1,1332,13,"Sayed",37,"Cairo","Cash"
"6080","coffee,soda",2,2328,13,"Sayed",37,"Cairo","Credit"
"6081","coffee",1,998,13,"Sayed",37,"Cairo","Credit"
"6082","soda,seasonal products",2,1380,8,"Rania",37,"Dakahlia","Cash"
"6083","other vegetables",1,2007,8,"Rania",37,"Dakahlia","Cash"
"6084","pip fruit,berries,yogurt",3,661,8,"Rania",37,"Dakahlia","Credit"
"6085","citrus fruit,packaged fruit/vegetables,yogurt,white wine,long life bakery product",5,858,13,"Sayed",37,"Cairo","Cash"
"6086","UHT-milk",1,531,13,"Sayed",37,"Cairo","Cash"
"6087","pork,whole milk,white bread,pastry,specialty fat,sweet spreads,female sanitary products",7,1965,13,"Sayed",37,"Cairo","Cash"
"6088","yogurt,domestic eggs",2,906,13,"Sayed",37,"Cairo","Cash"
"6089","brown bread",1,1226,8,"Rania",37,"Dakahlia","Credit"
"6090","butter,curd",2,2344,13,"Sayed",37,"Cairo","Credit"
"6091","citrus fruit,tropical fruit,pip fruit,UHT-milk,frozen fish,soda,fruit/vegetable juice,hygiene articles,napkins",9,1463,13,"Sayed",37,"Cairo","Credit"
"6092","other vegetables,frozen vegetables,domestic eggs,soda,canned beer,liquor,shopping bags",7,2283,8,"Rania",37,"Dakahlia","Cash"
"6093","whipped/sour cream,brown bread",2,719,13,"Sayed",37,"Cairo","Cash"
"6094","tropical fruit,whole milk,candles",3,1834,13,"Sayed",37,"Cairo","Cash"
"6095","sausage,tropical fruit",2,2192,8,"Rania",37,"Dakahlia","Credit"
"6096","pastry,soda",2,262,8,"Rania",37,"Dakahlia","Cash"
"6097","whole milk,bottled beer",2,734,8,"Rania",37,"Dakahlia","Cash"
"6098","sausage,misc. beverages,canned beer,waffles,shopping bags",5,2057,8,"Rania",37,"Dakahlia","Cash"
